ID,Extracted Data,Type,Length,Preview
26,"Answer: 
• What data was used? 
• What problem was solved? 
• What techniques were applied? 
Task 3: KDD Diagram 
Draw the KDD process stages with labels and a brief explanation for each step",sentence,191,"Answer: 
• What data was used? 
• What problem was..."
27,"Tools for This Week 
• Reading Support: Use ChatGPT or Perplexity.ai for explanations 
• Drawing: Lucidchart / Draw.io for KDD diagrams 
• Notes: Use Notion, OneNote, or physical notebook for topic summaries 
 
          Review Questions 
1",sentence,249,"
 
      Tools for This Week 
• Reading Support: U..."
28,"What are the main differences between DM and DW? 
2",sentence,51,"What are the main differences between DM and DW? 
..."
29,Describe the stages in the KDD process,sentence,38,Describe the stages in the KDD process
30,3,sentence,2,"
3"
31,"Why is data preprocessing necessary before mining? 
4",sentence,53,Why is data preprocessing necessary before mining?...
32,Identify two ethical issues in data mining and how to mitigate them,sentence,67,Identify two ethical issues in data mining and how...
33,5,sentence,2,"
5"
34,"How does GDPR affect data mining practices? 
 
             Recommended Weekly Study Schedule 
Day Activity Duration 
Monday Read DMCT Ch",sentence,137,"How does GDPR affect data mining practices? 
 
   ..."
35,"1 and summarize 1.5 hrs 
Tuesday Read WMLT Ch",sentence,45,"1 and summarize 1.5 hrs 
Tuesday Read WMLT Ch"
36,"1 and write DM vs DW table 1.5 hrs 
Wednesday Study KDD and sketch process diagram 1 hr 
Thursday Read case study (healthcare/e-commerce) 1 hr 
Friday Ethics & GDPR – IEEE + online articles 1.5 hrs 
Saturday Lab: Create 1-page report and diagram 2 hrs 
Sunday Revise + Practice questions 1 hr",sentence,297,"1 and write DM vs DW table 1.5 hrs 
Wednesday Stud..."
